algo,n,m,graphs_per_rep,rep,total_time_ns
KKT,1024,2048,3,0,702530
KKT,1024,2048,3,1,693946
KKT,1024,2048,3,2,706423
KKT,1024,4096,3,0,876053
KKT,1024,4096,3,1,911220
KKT,1024,4096,3,2,846174
KKT,1024,8192,3,0,1172440
KKT,1024,8192,3,1,1240196
KKT,1024,8192,3,2,1147962
KKT,1024,16384,3,0,1492097
KKT,1024,16384,3,1,1434755
KKT,1024,16384,3,2,1446077
KKT,2048,4096,3,0,1400514
KKT,2048,4096,3,1,1414362
KKT,2048,4096,3,2,1428125
KKT,2048,8192,3,0,1954739
KKT,2048,8192,3,1,1993922
KKT,2048,8192,3,2,1984468
KKT,2048,16384,3,0,2791677
KKT,2048,16384,3,1,2528828
KKT,2048,16384,3,2,2697767
KKT,2048,32768,3,0,3718654
KKT,2048,32768,3,1,3527974
KKT,2048,32768,3,2,3375187
KKT,4096,8192,3,0,2997298
KKT,4096,8192,3,1,2947652
KKT,4096,8192,3,2,2942218
KKT,4096,16384,3,0,4634130
KKT,4096,16384,3,1,4517936
KKT,4096,16384,3,2,4280688
KKT,4096,32768,3,0,6675691
KKT,4096,32768,3,1,6194027
KKT,4096,32768,3,2,6913087
KKT,4096,65536,3,0,8737037
KKT,4096,65536,3,1,7917925
KKT,4096,65536,3,2,9608077
KKT,8192,16384,3,0,6941306
KKT,8192,16384,3,1,6415244
KKT,8192,16384,3,2,6825788
KKT,8192,32768,3,0,9609726
KKT,8192,32768,3,1,9997055
KKT,8192,32768,3,2,9715898
KKT,8192,65536,3,0,15523896
KKT,8192,65536,3,1,14943973
KKT,8192,65536,3,2,14557301
KKT,8192,131072,3,0,23755076
KKT,8192,131072,3,1,21298098
KKT,8192,131072,3,2,23024694
KKT,16384,32768,3,0,13126249
KKT,16384,32768,3,1,12685334
KKT,16384,32768,3,2,12924191
KKT,16384,65536,3,0,21953755
KKT,16384,65536,3,1,21757509
KKT,16384,65536,3,2,21257565
KKT,16384,131072,3,0,36552132
KKT,16384,131072,3,1,35829644
KKT,16384,131072,3,2,35165798
KKT,16384,262144,3,0,57118270
KKT,16384,262144,3,1,55706800
KKT,16384,262144,3,2,56066865
KKT,32768,65536,3,0,28035339
KKT,32768,65536,3,1,28433665
KKT,32768,65536,3,2,28851462
KKT,32768,131072,3,0,47180467
KKT,32768,131072,3,1,47661113
KKT,32768,131072,3,2,45970593
KKT,32768,262144,3,0,78838742
KKT,32768,262144,3,1,83988038
KKT,32768,262144,3,2,81022202
KKT,32768,524288,3,0,137913424
KKT,32768,524288,3,1,131799842
KKT,32768,524288,3,2,140577300
KKT,65536,131072,3,0,62162336
KKT,65536,131072,3,1,63109782
KKT,65536,131072,3,2,61260584
KKT,65536,262144,3,0,105190817
KKT,65536,262144,3,1,106733949
KKT,65536,262144,3,2,105420584
KKT,65536,524288,3,0,191052495
KKT,65536,524288,3,1,192449855
KKT,65536,524288,3,2,183722233
KKT,65536,1048576,3,0,328725485
KKT,65536,1048576,3,1,331545945
KKT,65536,1048576,3,2,340151389
KKT,131072,262144,3,0,150278299
KKT,131072,262144,3,1,150056059
KKT,131072,262144,3,2,145280208
KKT,131072,524288,3,0,252323473
KKT,131072,524288,3,1,239177020
KKT,131072,524288,3,2,272530102
KKT,131072,1048576,3,0,451987776
KKT,131072,1048576,3,1,445254637
KKT,131072,1048576,3,2,448475339
KKT,131072,2097152,3,0,799441250
KKT,131072,2097152,3,1,795483396
KKT,131072,2097152,3,2,785697061
Kruskal,1024,2048,3,0,528553
Kruskal,1024,2048,3,1,493854
Kruskal,1024,2048,3,2,469840
Kruskal,1024,4096,3,0,677550
Kruskal,1024,4096,3,1,600313
Kruskal,1024,4096,3,2,634333
Kruskal,1024,8192,3,0,787135
Kruskal,1024,8192,3,1,857283
Kruskal,1024,8192,3,2,818255
Kruskal,1024,16384,3,0,1115838
Kruskal,1024,16384,3,1,1030717
Kruskal,1024,16384,3,2,1014662
Kruskal,2048,4096,3,0,1024558
Kruskal,2048,4096,3,1,968175
Kruskal,2048,4096,3,2,1117600
Kruskal,2048,8192,3,0,1237935
Kruskal,2048,8192,3,1,1222682
Kruskal,2048,8192,3,2,1236722
Kruskal,2048,16384,3,0,1616934
Kruskal,2048,16384,3,1,1655460
Kruskal,2048,16384,3,2,1567062
Kruskal,2048,32768,3,0,2080594
Kruskal,2048,32768,3,1,2099490
Kruskal,2048,32768,3,2,2235470
Kruskal,4096,8192,3,0,1960224
Kruskal,4096,8192,3,1,1966241
Kruskal,4096,8192,3,2,1985440
Kruskal,4096,16384,3,0,2434962
Kruskal,4096,16384,3,1,2392804
Kruskal,4096,16384,3,2,2358650
Kruskal,4096,32768,3,0,3490675
Kruskal,4096,32768,3,1,3031695
Kruskal,4096,32768,3,2,3148104
Kruskal,4096,65536,3,0,4472547
Kruskal,4096,65536,3,1,4725680
Kruskal,4096,65536,3,2,4627549
Kruskal,8192,16384,3,0,4126057
Kruskal,8192,16384,3,1,4168898
Kruskal,8192,16384,3,2,4062042
Kruskal,8192,32768,3,0,5155330
Kruskal,8192,32768,3,1,5018065
Kruskal,8192,32768,3,2,5040134
Kruskal,8192,65536,3,0,6328790
Kruskal,8192,65536,3,1,6789879
Kruskal,8192,65536,3,2,6443747
Kruskal,8192,131072,3,0,9857484
Kruskal,8192,131072,3,1,9731921
Kruskal,8192,131072,3,2,9832853
Kruskal,16384,32768,3,0,8605294
Kruskal,16384,32768,3,1,8910246
Kruskal,16384,32768,3,2,9573199
Kruskal,16384,65536,3,0,13486589
Kruskal,16384,65536,3,1,12018025
Kruskal,16384,65536,3,2,10693098
Kruskal,16384,131072,3,0,15893255
Kruskal,16384,131072,3,1,15549904
Kruskal,16384,131072,3,2,15860370
Kruskal,16384,262144,3,0,23877438
Kruskal,16384,262144,3,1,21186840
Kruskal,16384,262144,3,2,21530076
Kruskal,32768,65536,3,0,19946597
Kruskal,32768,65536,3,1,18275464
Kruskal,32768,65536,3,2,19279969
Kruskal,32768,131072,3,0,26789739
Kruskal,32768,131072,3,1,24018754
Kruskal,32768,131072,3,2,24914900
Kruskal,32768,262144,3,0,32248491
Kruskal,32768,262144,3,1,35345995
Kruskal,32768,262144,3,2,32644098
Kruskal,32768,524288,3,0,54228174
Kruskal,32768,524288,3,1,53487477
Kruskal,32768,524288,3,2,52349778
Kruskal,65536,131072,3,0,49308531
Kruskal,65536,131072,3,1,45336001
Kruskal,65536,131072,3,2,42175071
Kruskal,65536,262144,3,0,58396748
Kruskal,65536,262144,3,1,57076875
Kruskal,65536,262144,3,2,54962695
Kruskal,65536,524288,3,0,76448001
Kruskal,65536,524288,3,1,77672847
Kruskal,65536,524288,3,2,79389045
Kruskal,65536,1048576,3,0,130751709
Kruskal,65536,1048576,3,1,116625050
Kruskal,65536,1048576,3,2,120995135
Kruskal,131072,262144,3,0,109839082
Kruskal,131072,262144,3,1,103095919
Kruskal,131072,262144,3,2,109907796
Kruskal,131072,524288,3,0,154042097
Kruskal,131072,524288,3,1,142830145
Kruskal,131072,524288,3,2,143979392
Kruskal,131072,1048576,3,0,206484110
Kruskal,131072,1048576,3,1,199343461
Kruskal,131072,1048576,3,2,203652800
Kruskal,131072,2097152,3,0,335834710
Kruskal,131072,2097152,3,1,330695420
Kruskal,131072,2097152,3,2,338533185
