workload,n,error_budget,error_budget_pct,best_method,best_config,actual_error,runtime_sec,speedup_vs_naive
NN-Like,512,0.01,1.0,LR-GEMM-RSVD,r=32,8.358497918014643e-12,0.1018923000083305,7.5917944726289734
NN-Like,512,0.05,5.0,LR-GEMM-RSVD,r=32,8.358497918014643e-12,0.1018923000083305,7.5917944726289734
NN-Like,512,0.1,10.0,LR-GEMM-RSVD,r=16,0.07627418583741781,0.03416919999290258,22.6386746007332
NN-Like,512,0.2,20.0,LR-GEMM-RSVD,r=8,0.15264130721805022,0.013767500000540167,56.18633738705986
NN-Like,512,0.5,50.0,LR-GEMM-RSVD,r=8,0.15264130721805022,0.013767500000540167,56.18633738705986
Dense Gaussian,512,0.01,1.0,None,N/A,inf,inf,0.0
Dense Gaussian,512,0.05,5.0,None,N/A,inf,inf,0.0
Dense Gaussian,512,0.1,10.0,None,N/A,inf,inf,0.0
Dense Gaussian,512,0.2,20.0,None,N/A,inf,inf,0.0
Dense Gaussian,512,0.5,50.0,None,N/A,inf,inf,0.0
Low-Rank (r=20),512,0.01,1.0,LR-GEMM-RSVD,r=32,1.550653173001653e-11,0.07969529996626079,10.47886136731353
Low-Rank (r=20),512,0.05,5.0,LR-GEMM-RSVD,r=16,0.01789480901570105,0.04543160001048818,18.38183114352392
Low-Rank (r=20),512,0.1,10.0,LR-GEMM-RSVD,r=8,0.06298158982622235,0.015522299974691123,53.80104761115025
Low-Rank (r=20),512,0.2,20.0,LR-GEMM-RSVD,r=8,0.06298158982622235,0.015522299974691123,53.80104761115025
Low-Rank (r=20),512,0.5,50.0,LR-GEMM-RSVD,r=8,0.06298158982622235,0.015522299974691123,53.80104761115025
Sparse (95%),512,0.01,1.0,None,N/A,inf,inf,0.0
Sparse (95%),512,0.05,5.0,None,N/A,inf,inf,0.0
Sparse (95%),512,0.1,10.0,None,N/A,inf,inf,0.0
Sparse (95%),512,0.2,20.0,None,N/A,inf,inf,0.0
Sparse (95%),512,0.5,50.0,None,N/A,inf,inf,0.0
